playerID,"CONCAT(Player.nameFirst, ' ', Player.nameLast)",birthCountry,max_salary,teamID
benavfr01,"Freddie Benavides",USA,195000,CIN
benedbr01,"Bruce Benedict",USA,665000,ATL
benesal01,"Alan Benes",USA,550000,SLN
benesan01,"Andy Benes",USA,6666667,SDN
beniqju01,"Juan Beniquez",P.R.,450000,CAL
benitar01,"Armando Benitez",D.R.,9866219,BAL
benitya01,"Yamil Benitez",P.R.,195000,KCA
benjami01,"Mike Benjamin",USA,925000,SFN
benneer01,"Erik Bennett",USA,109000,MIN
bennega01,"Gary Bennett",USA,850000,PHI
benneje01,"Jeff Bennett",USA,437500,MIL
bennesh01,"Shayne Bennett",Australia,230000,MON
benoijo01,"Joaquin Benoit",D.R.,8000000,TEX
bensokr01,"Kris Benson",USA,8333333,PIT
bentzch01,"Chad Bentz",USA,300000,MON
benzito01,"Todd Benzinger",USA,1150000,BOS
bereja01,"Jason Bere",USA,3400000,CHA
berenbr01,"Bruce Berenyi",USA,325000,NYN
berenju01,"Juan Berenguer",Panama,1200000,DET
bergda01,"Dave Berg",USA,800000,FLO
bergebr01,"Brandon Berger",USA,304000,KCA
bergebr02,"Brad Bergesen",USA,434000,BAL
bergepe01,"Peter Bergeron",USA,300000,MON
bergju01,"Justin Berg",USA,403000,CHN
bergmda01,"Dave Bergman",USA,575000,DET
bergmja01,"Jason Bergmann",USA,750000,WAS
bergmse01,"Sean Bergman",USA,1875000,DET
berkeja01,"Jason Berken",USA,426500,BAL
berkmla01,"Lance Berkman",USA,14500000,HOU
bernaro01,"Roger Bernadina",Curacao,1212500,WAS
bernato01,"Tony Bernazard",P.R.,630000,CLE
bernead01,"Adam Bernero",USA,450000,DET
berrada01,"Dale Berra",USA,657500,NYA
berroan01,"Angel Berroa",D.R.,2000000,KCA
berroge01,"Geronimo Berroa",D.R.,3300000,ATL
berryda01,"Damon Berryhill",USA,1000000,CHN
berryse01,"Sean Berry",USA,2350000,MON
bertomi01,"Mike Bertotti",USA,160000,CHA
beruman01,"Andres Berumen",Mexico,109000,SDN
bestka01,"Karl Best",USA,105000,SEA
