playerID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,AVG,SLG
allenha01,16,66,8,18,1,0,0,7,0,0,0,1,0,0,0,0,0,0.2727272727272727,0.2878787878787879
allenha02,389,881,104,212,27,9,6,57,15,9,49,128,5,2,2,4,30,0.24063564131668558,0.31214528944381387
allenhe01,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.6666666666666666
allenho01,4,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0
allenja01,27,108,14,16,3,2,0,7,0,0,2,14,0,0,0,0,0,0.14814814814814814,0.21296296296296297
allenja02,86,273,23,61,10,0,4,21,6,5,33,52,0,1,6,0,8,0.22344322344322345,0.304029304029304
allenje01,342,1031,155,268,49,8,15,114,42,20,104,228,1,24,21,10,9,0.25994180407371487,0.36663433559650827
allenjo01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
allenjo02,365,716,82,124,12,3,4,64,1,0,33,155,0,0,36,0,8,0.17318435754189945,0.21508379888268156
allenki01,42,54,10,12,3,0,0,3,12,4,8,5,2,1,2,0,1,0.2222222222222222,0.2777777777777778
allenll01,159,40,2,8,1,0,1,1,0,0,0,14,0,0,3,0,1,0.2,0.3
allenlu01,8,9,2,1,1,0,0,0,0,0,2,3,0,0,0,0,1,0.1111111111111111,0.2222222222222222
allenmy01,156,606,89,157,28,14,4,88,30,0,45,3,0,6,0,0,0,0.2590759075907591,0.3712871287128713
allenne01,434,115,3,15,2,2,0,7,0,0,3,51,0,0,11,0,0,0.13043478260869565,0.1826086956521739
allenni01,216,500,41,116,13,5,0,36,8,0,33,73,0,6,10,0,0,0.232,0.278
allenpe01,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
allenro01,7,11,2,1,0,0,1,1,0,0,3,5,0,0,0,0,1,0.09090909090909091,0.36363636363636365
allenro02,31,50,8,11,2,0,0,3,1,0,2,11,0,1,1,0,0,0.22,0.26
allensl01,14,23,3,3,1,0,0,1,0,0,1,0,0,2,1,0,0,0.13043478260869565,0.17391304347826086
alleyge01,1195,3927,442,999,140,44,55,342,63,30,300,622,62,27,56,22,95,0.25439266615737205,0.3544690603514133
alliebo01,21,45,4,8,1,0,1,2,0,0,1,6,1,0,1,0,1,0.17777777777777778,0.26666666666666666
alliega01,121,418,38,83,8,6,3,30,1,1,56,84,0,2,3,3,3,0.19856459330143542,0.2679425837320574
allisan01,24,93,11,15,3,0,0,9,0,0,0,3,0,0,0,0,0,0.16129032258064516,0.1935483870967742
allisar01,168,740,106,188,19,8,1,70,10,3,5,18,0,0,0,0,0,0.25405405405405407,0.3054054054054054
allisbi01,5,19,5,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0.15789473684210525,0.15789473684210525
allisbo01,1541,5032,811,1281,216,53,256,796,84,50,795,1033,30,34,25,35,115,0.25457074721780604,0.47118441971383146
allisda01,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
