playerID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
annade01,13,23,3,3,1,0,1,3,0,0,2,6,0,0,0,1,0
annisbi01,27,96,17,17,2,0,0,3,0,0,0,8,0,0,0,0,0
ansonca01,2523,10277,1996,3418,581,142,97,2076,276,16,983,302,0,32,27,0,0
anthoer01,682,1999,249,462,81,8,78,269,24,14,217,491,22,5,3,19,34
antoljo01,4,6,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
antonbi01,40,43,9,7,1,1,1,4,0,0,2,11,0,0,0,0,1
antonjo01,135,528,50,133,28,2,1,29,1,0,24,29,0,2,6,0,14
antonjo02,403,679,56,121,12,3,15,59,1,0,26,175,0,1,35,3,15
antonma01,21,57,6,11,2,0,1,3,0,0,5,11,1,3,0,0,1
aokino01,531,1963,266,563,91,16,24,156,81,33,171,169,2,36,24,9,28
aparilu01,2601,10230,1335,2677,394,92,83,791,506,136,736,742,22,27,161,76,184
apodabo01,184,58,4,10,3,0,0,3,0,0,5,17,0,0,3,1,2
apontlu01,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
appieke01,414,83,4,8,0,0,0,4,0,0,1,39,0,1,5,0,0
appleed01,48,56,4,9,0,1,0,0,0,0,2,15,0,0,0,0,0
applefr01,3,7,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0
applepe01,343,374,30,87,8,7,0,34,0,1,8,66,0,0,12,0,2
applilu01,2422,8856,1319,2749,440,102,45,1116,179,108,1302,528,0,11,74,0,129
aquingr01,145,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aquinlu01,222,35,2,4,0,0,0,0,0,0,1,9,0,0,5,0,0
aragoan01,32,76,4,9,1,0,0,5,2,0,5,6,0,1,5,0,0
aragoja01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
araujel01,40,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
archdma01,127,384,84,128,14,4,0,29,13,10,48,39,0,4,13,0,0
archech01,97,13,1,0,0,0,0,0,0,1,0,7,0,0,0,0,0
archefr01,7,15,1,4,0,0,0,1,0,0,2,3,0,0,0,0,0
archeji01,847,2646,246,660,106,34,16,296,36,6,124,241,0,19,93,0,0
archeji02,57,64,2,5,1,0,0,4,0,0,2,19,0,0,6,1,0
archige01,121,421,50,115,24,4,3,53,10,4,37,47,0,1,2,0,12
arciajo01,293,615,78,132,24,6,1,35,17,13,29,107,1,9,9,0,10
arciaos01,219,781,86,190,33,5,36,108,2,4,58,259,8,12,0,2,12
ardelda01,7,4,1,1,0,0,0,0,0,0,1,2,0,0,1,0,0
ardizru01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ardnejo01,110,415,34,88,14,2,0,39,9,0,18,64,0,2,0,0,0
ardoida01,165,423,50,87,17,1,8,35,2,1,42,124,4,13,8,2,13
arellfr01,77,142,8,24,1,2,1,6,3,0,3,0,0,0,7,0,0
arenano01,401,1534,204,431,106,10,70,243,6,6,82,240,15,9,3,18,46
arencjp01,467,1573,169,333,67,4,80,245,2,3,85,484,4,17,1,11,25
arftha01,300,906,116,229,46,13,13,118,8,10,137,133,0,2,11,0,16
ariasal01,775,1773,203,470,84,6,18,196,10,5,181,211,14,23,17,16,47
ariasal02,63,6,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0
ariasge01,173,480,46,114,18,2,14,55,2,0,25,121,2,2,6,0,14
ariasjo01,474,1052,112,279,46,11,7,95,13,3,37,150,7,8,12,9,24
ariasru01,34,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
arletbu01,121,418,65,131,26,7,18,72,3,0,45,39,0,5,1,0,0
arlicdo01,8,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
arlinst01,141,230,13,32,3,2,0,11,0,0,15,74,0,2,13,1,4
armasma01,15,31,7,6,2,0,1,1,1,0,1,12,0,1,0,0,0
armasto01,1432,5164,614,1302,204,39,251,815,18,20,260,1201,37,15,11,52,149
armasto02,186,268,6,26,2,1,0,10,0,0,4,99,0,0,27,0,2
armbrch01,131,355,24,53,11,1,0,12,6,0,52,0,0,2,8,0,0
armbred01,224,265,46,65,11,6,4,19,15,10,24,71,0,1,9,3,4
armbrha01,91,265,40,63,6,3,2,24,13,0,43,0,0,4,18,0,0
armbror01,3,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
armstbo01,12,49,9,11,2,1,0,5,0,1,0,1,0,0,0,0,0
armstge01,8,6,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
armstho01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armstja01,153,185,8,21,2,0,0,8,0,0,2,83,0,2,26,0,6
armstmi01,197,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
armstsh01,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arndtha01,271,985,118,244,26,20,6,99,27,0,85,0,0,7,18,0,0
arndtla01,2,6,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
arnolbi01,2,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
arnolch01,273,435,47,103,12,5,4,51,1,2,42,76,5,1,1,4,13
arnolja01,50,19,1,3,1,0,0,1,0,0,0,6,0,1,1,0,0
arnolsc01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arnolto01,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arnovmo01,590,2013,234,577,104,12,22,261,17,0,185,139,0,10,21,0,61
arnsbbr01,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arntzor01,32,50,3,8,1,0,0,1,0,0,2,16,0,0,2,0,1
arochre01,124,69,3,7,2,0,0,3,0,0,3,31,0,0,10,0,0
arojo01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arredjo01,214,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
arrieja01,137,143,8,22,3,2,2,8,0,0,5,75,0,0,14,0,2
arrigge01,195,179,10,27,6,1,1,11,0,0,9,59,0,0,8,0,7
arrojro01,158,37,2,3,1,0,0,3,0,0,1,20,0,0,4,0,0
arroybr01,421,603,35,77,16,0,6,29,1,0,14,266,0,1,82,3,8
arroyfe01,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arroylu01,246,128,5,29,2,0,1,8,0,0,2,28,0,0,11,1,3
arroyru01,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
arrueer01,22,41,4,8,1,0,0,4,0,0,3,17,0,0,0,1,1
arundha01,16,60,10,11,0,0,0,1,0,0,6,1,0,0,0,0,0
arundtu01,76,260,21,45,4,1,0,16,9,0,16,22,0,1,0,0,0
asadora01,15,55,9,20,5,0,0,7,1,2,3,13,1,0,2,0,0
asbelji01,17,33,6,6,2,0,0,3,0,0,3,9,0,0,0,0,0
asbjoca01,97,221,19,52,10,1,1,27,0,0,9,45,0,2,2,0,0
ascanjo01,43,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ascheco01,300,984,102,242,55,4,27,107,2,3,74,256,10,5,3,3,11
asencmi01,42,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
ashburi01,2189,8365,1322,2574,317,109,29,586,234,92,1198,571,25,43,112,18,83
ashbyal01,1370,4123,397,1010,183,13,90,513,7,10,461,622,66,11,55,41,125
ashbyan01,313,521,26,70,13,0,1,26,1,0,16,218,0,0,83,1,5
asheral01,7,6,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0
ashfotu01,222,510,42,111,31,1,6,55,5,3,47,75,6,1,5,6,11
ashke01,58,46,3,6,1,0,0,1,0,0,1,8,0,0,1,0,0
ashlebi01,281,618,56,144,23,1,28,84,0,0,63,236,5,4,0,3,15
ashlene01,12,20,2,2,1,0,0,1,0,0,0,8,0,1,0,0,0
asmusto01,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
asprobo01,1324,4369,386,1103,135,26,60,457,19,24,333,459,52,29,36,32,131
asproke01,475,1483,171,369,69,3,19,124,7,5,179,149,4,6,13,10,49
asselbr01,284,574,52,146,27,4,12,68,5,4,38,74,6,3,5,9,17
assenpa01,884,36,3,3,1,0,0,0,0,0,5,12,0,0,7,0,1
astacez01,28,21,0,3,0,0,0,0,0,0,0,12,0,0,2,0,0
astacpe01,395,676,31,90,7,1,0,28,0,1,5,256,0,5,89,0,5
